Estabelecimento,Rank,Categoria,Frete
Bk - Delivery Hamburgueria de Respeito,4.3,Lanches, 9.99
"King Burguer ""o Rei do Hambúrguer""",5.0,Lanches, 8.99
Serafina Hamburgueria,4.8,Lanches, 22.99
Barretus Hamburgueria,4.5,Lanches,Grátis
Madrugas Burger 2019,4.1,Lanches, 9.99
Chama no Burguer - Campo Grande,4.9,Lanches,Grátis
Iberica Padaria e Confeitaria,4.8,Padaria, 3.99
Hamburguer & Frango Frito Black Coffee,4.3,Brasileira, 4.99
The Own Burger,4.8,Lanches, 7.99
Vz Burgers - Westshopping,1.7,Hambúrguer, 7.99
Supermarket Torre - Campo Grande,4.8,Mercado, 12.99
Adonai Supermercados do Km 32,4.7,Mercado, 21.99
Lorenzo Burger - Hambúrguer,NS/NR,Lanches,Grátis
Supermarket Big - Santa Margarida,4.7,Mercado, 16.48
Rede Economia - Campo Grande,4.1,Mercado, 12.49
Miguelitos - Pasteis e Hambúrgueres,4.4,Hambúrguer,Grátis
Padaria Aurelio,4.9,Padaria, 5.99
SEX BURGER E PIZZA,4.9,Lanches,Grátis
Billy Burger - West Shopping,4.7,Lanches, 5.99
Supermercado Redeconomia - Celeiro,4.9,Mercado, 17.48
Super Rede - Senador Vasconcelos,4.8,Mercado, 13.99
Super Compras - Big Field,4.6,Mercado, 16.98
Saad - Lanches e Refeições,4.7,Lanches, 3.99
Lumine - Pizza Cone e Empadas,4.8,Pizza, 24.99
Lunch L.a,5.0,Salgados, 24.99
Lá Casa del Pão de Alho,4.8,Lanches, 22.00
WL.Lanches,4.9,Lanches, 9.00
Frango no Pote Parkshopping Campo Grande,4.8,Lanches, 7.99
Delicias crepe,4.1,Lanches, 6.99
Aylla Quentinhas Salgadinhos e lanches!!,5.0,Brasileira,Grátis
Planet Pizzaria/hamburgueria e Açaiteria,4.4,Pizza,Grátis
Brother's Burg,4.9,Lanches, 7.00
Restaurante Chef Barros,4.6,Marmita, 4.99
Pestiscaria Batata Maluca - Cupom de R$10 no Cardápio!,4.4,Cozinha Rápida, 9.99
Ghab Mania Conveniência,5.0,Conveniência, 8.99
ESTAMOS COMIDA CASEIRA!!!,5.0,Brasileira,Grátis
Insano Burguer - Campo Grande,4.7,Lanches,Grátis
Tati Lanches,NS/NR,Lanches, 14.99
HAMBÚRGUERIA EXPLOSÃO DE MASSA,1.7,Lanches,Grátis
Giraffas Parkshopping Campo Grande,4.6,Brasileira, 7.99
Restaurante & Empório Bora Bora,4.9,Brasileira, 22.99
Leve Prazer Lanches Saudáveis,5.0,Saudável, 14.99
Terê Sorvestes e Açaí Jardim Monteiro,5.0,Açaí, 7.99
Explosão de Massas,2.0,Pizza,Grátis
La Casa do Hambúrguer,NS/NR,Hambúrguer, 4.00
Rodrigo Burguer,NS/NR,Lanches, 19.98
Hamburguer Na Brasa,5.0,Carnes, 15.99
Arte e Gourmet Doceria,4.8,Doces & Bolos, 20.00
Dogueria Viking - Hot Dog e Hamburguer,NS/NR,Lanches, 4.99
Md Lanches,NS/NR,Lanches, 4.99
Jb Lanches,NS/NR,Lanches, 6.99
Guga - Pizzaria e Hamburgueria,4.9,Pizza,Grátis
Hambúrguer Amoreiras,5.0,Cozinha Rápida, 9.99
Pensão Lanchonete e Sorveteria da Rô,NS/NR,Hambúrguer, 7.99
"Hamburgueria, Petiscos, bebidas Route 99",NS/NR,Lanches, 15.99
Nação do Frangolino,NS/NR,Variada, 3.99
Bom Paladar,4.3,Brasileira, 2.00
SPARTANN - PIZZA E BURGUER,4.9,Lanches,Grátis
021 Lanches,NS/NR,Lanches, 6.99
Dannis Crepes,3.3,Lanches, 6.99
Hamburgueria Vincler,NS/NR,Lanches, 10.99
Restaurante Chef Tiago,4.5,Brasileira, 4.99
Apuk Burguer,NS/NR,Lanches, 9.99
Bob's Viúva Dantas,4.7,Lanches, 3.99
Padaria Bom Pão,4.9,Padaria, 4.00
Pizzaria Ponto de Encontros,4.5,Pizza, 15.99
Volt Burguer - Campo Grande,NS/NR,Lanches,Grátis
Number One Chicken,4.9,Lanches, 6.99
Pc e Dai Lanches,4.8,Pizza, 5.99
Beatriz_e_kawan - Burger Artesanal (c.g),4.5,Lanches, 9.99
Berga's Mix,4.0,Variada, 4.00
Arte e Gourmet Açaíteria,5.0,Açaí, 19.98
Prensadãoburger e Açaiteria Predileto,NS/NR,Lanches, 15.99
Mr.toro,NS/NR,Carnes, 4.99
La Brasa Burger Campo Grande,4.8,Hambúrguer, 5.99
Sorvetes Ki-legal,4.9,Sorvetes, 7.99
Interestelar Hamburgueria,5.0,Lanches, 5.99
Mcdonald's Coronel Agostinho,4.5,Lanches, 4.99
Mcdonald's - Estrada Monteiro,4.5,Lanches, 4.99
Cantinho da Tapioca Br,4.6,Tapioca, 4.99
Império Açaí & Doces,5.0,Açaí, 5.99
Tempero da Família 021,4.4,Brasileira, 3.00
Dom Helio Forno & Grill Park Shoping,4.6,Pizza, 11.99
Jr Lanches,4.6,Salgados, 19.98
Enjoy Food,4.1,Lanches, 8.00
Pilo's Pub,5.0,Hambúrguer, 4.99
Macaw,5.0,Brasileira, 4.99
A Casa do Lanche Bangu,NS/NR,Lanches, 24.99
Porto do Sabor - Parkshopping-cg,5.0,Lanches, 6.99
Divinos Burg,4.7,Lanches, 7.00
Marmita - Casa do Frango,4.6,Marmita,Grátis
Dd Lanches,4.7,Pastel, 6.99
Americanlanches10,4.9,Lanches, 22.99
Craque D Italia,5.0,Pizza, 6.00
Puro Sabor,4.5,Brasileira, 3.99
Cantinho do Sabor - Comida Caseira,4.8,Brasileira, 18.98
O Morais - Burger - West Shopping,4.8,Lanches,Grátis
Mone's- Dogueria & Snack,NS/NR,Lanches, 5.99
Gold The Food,NS/NR,Lanches, 5.99
